Year,Quarter,Sales
2007,3,0.27
2007,4,1.12
2008,1,2.32
2008,2,1.7
2008,3,0.72
2008,4,6.89
2009,1,4.36
2009,2,3.79
2009,3,5.21
2009,4,7.37
2010,1,8.74
2010,2,8.75
2010,3,8.4
2010,4,14.1
2011,1,16.24
2011,2,18.65
2011,3,20.34
2011,4,17.07
2012,1,37.04
2012,2,35.06
2012,3,26.03
2012,4,26.91
2013,1,47.79
2013,2,37.43
2013,3,31.24
2013,4,33.87
2014,1,51.03
2014,2,43.72
2014,3,35.21
2014,4,39.27
2015,1,74.47
2015,2,61.17
2015,3,47.55
2015,4,48.05
2016,1,74.78
2016,2,51.19
2016,3,40.4
